0.098841,0.000496,0.004379,0.084564,0.100868,0.041449,0.060292,0.054465,0.036812,0.013198,0.100868,0.000000,0.015586,0.001165,0.130084,0.000108,0.000108,0.036812,0.045304,0.036812,15.000000,5.000000,11.000000,1.000000,4.000000
0.004400,0.024374,0.006027,0.012099,0.009376,0.002590,0.013865,0.071473,0.000784,0.004719,0.009376,0.000000,0.007057,0.019050,0.000238,0.000141,0.000141,0.004719,0.002094,0.002094,8.000000,2.000000,14.000000,7.000000,4.000000
0.054433,0.014838,0.004076,0.050210,0.040447,0.051096,0.002863,0.042807,0.037916,0.003240,0.037334,0.000000,0.018674,0.000384,0.045083,0.006260,0.006260,0.038099,0.007024,0.009343,1.000000,6.000000,4.000000,15.000000,8.000000
0.104398,0.001066,0.004144,0.093399,0.158404,0.100663,0.000830,0.102520,0.076402,0.010146,0.164197,0.000000,0.044123,0.009018,0.124557,0.003886,0.003886,0.081377,0.063357,0.058381,11.000000,5.000000,15.000000,1.000000,8.000000
0.088815,0.004579,0.006931,0.058017,0.105557,0.099101,0.008279,0.060634,0.076100,0.000006,0.118968,0.000000,0.062417,0.003568,0.085240,0.008056,0.008056,0.070520,0.066485,0.052554,11.000000,5.000000,6.000000,1.000000,15.000000
0.035220,0.010951,0.004598,0.033983,0.009654,0.019486,0.004133,0.058023,0.031463,0.001164,0.006389,0.000000,0.021385,0.010951,0.027940,0.005782,0.005782,0.003548,0.003470,0.004720,8.000000,1.000000,4.000000,9.000000,15.000000
0.287677,0.002089,0.015849,0.436917,0.565544,0.190058,0.398541,0.436917,0.000231,0.000231,0.565544,0.000000,0.271055,0.002089,0.320486,0.000209,0.000209,0.190058,0.169937,0.121135,5.000000,11.000000,8.000000,4.000000,7.000000
0.015719,0.001013,0.007117,0.025153,0.008873,0.015960,0.001250,0.005206,0.019844,0.001585,0.009058,0.000000,0.000277,0.008690,0.013418,0.002723,0.002723,0.001506,0.002404,0.015719,4.000000,9.000000,6.000000,20.000000,1.000000
0.004278,0.002565,0.003914,0.009848,0.006478,0.009542,0.010695,0.000992,0.016378,0.001227,0.002182,0.000000,0.004090,0.000852,0.002549,0.000232,0.000232,0.005770,0.008664,0.009542,9.000000,7.000000,4.000000,20.000000,6.000000
0.032655,0.004877,0.004685,0.022189,0.037422,0.023050,0.014368,0.025150,0.037434,0.000129,0.021143,0.000000,0.006061,0.002476,0.022826,0.006948,0.006948,0.011636,0.020570,0.004643,9.000000,5.000000,1.000000,8.000000,6.000000
0.009939,0.001166,0.010815,0.016631,0.012098,0.003353,0.018533,0.001990,0.008268,0.001244,0.009718,0.000000,0.008983,0.000087,0.006668,0.000462,0.000462,0.018618,0.018906,0.012954,19.000000,18.000000,7.000000,4.000000,20.000000
0.082907,0.021562,0.013628,0.007837,0.082907,0.028288,0.004932,0.033675,0.090840,0.023444,0.082907,0.000000,0.042273,0.023444,0.023444,0.012703,0.012703,0.082907,0.010293,0.086803,9.000000,20.000000,11.000000,5.000000,1.000000
0.037453,0.004392,0.008744,0.176431,0.176431,0.037453,0.197055,0.023187,0.060909,0.000172,0.176431,0.000000,0.048230,0.004392,0.028131,0.023187,0.023187,0.037453,0.008787,0.000172,7.000000,4.000000,5.000000,11.000000,9.000000
0.085499,0.008297,0.001318,0.059891,0.093608,0.093608,0.010221,0.151635,0.033846,0.013712,0.093608,0.000000,0.003659,0.008297,0.133792,0.028051,0.028051,0.075082,0.014756,0.017796,8.000000,15.000000,5.000000,6.000000,11.000000
0.002896,0.001363,0.011309,0.018774,0.022306,0.007542,0.011139,0.000043,0.001219,0.000858,0.032540,0.000000,0.000770,0.001363,0.030644,0.008720,0.008720,0.032540,0.022599,0.019124,18.000000,11.000000,15.000000,19.000000,5.000000
0.069640,0.000790,0.001117,0.050747,0.069640,0.055604,0.006123,0.017353,0.015969,0.001034,0.057788,0.000000,0.009438,0.000790,0.056220,0.001190,0.001190,0.035386,0.036406,0.041519,1.000000,5.000000,11.000000,15.000000,6.000000
0.101419,0.065573,0.000670,0.021477,0.194736,0.069474,0.033279,0.055707,0.020106,0.011361,0.114922,0.096568,0.104057,0.008658,0.051868,0.010368,0.010368,0.045843,0.090062,0.058289,5.000000,11.000000,13.000000,1.000000,12.000000
0.062613,0.013077,0.000903,0.052181,0.092721,0.047606,0.045561,0.043271,0.046234,0.003795,0.059002,0.067450,0.084807,0.000375,0.040967,0.000325,0.000325,0.015159,0.062613,0.052588,5.000000,13.000000,12.000000,1.000000,19.000000
0.122892,0.009135,0.000088,0.050496,0.130131,0.082708,0.035864,0.058058,0.046711,0.001922,0.103656,0.020966,0.052701,0.005654,0.089325,0.000071,0.000071,0.033564,0.080533,0.075616,5.000000,1.000000,11.000000,15.000000,6.000000
0.079416,0.004845,0.000834,0.059377,0.081945,0.074587,0.074587,0.049054,0.054692,0.001775,0.087048,0.015817,0.056436,0.000706,0.080259,0.001096,0.001096,0.015817,0.059934,0.033716,11.000000,5.000000,15.000000,1.000000,6.000000
0.002133,0.000137,0.000201,0.001242,0.001242,0.000490,0.001809,0.002434,0.000904,0.001242,0.001242,0.000162,0.001254,0.000137,0.000137,0.000005,0.000005,0.000149,0.001432,0.001355,8.000000,1.000000,7.000000,19.000000,20.000000
